ort;landkreis;latitude;longitude;GEB_HQ;AEP;flood_risk;Ueberschwemmungstiefe;Schadensfaktor;Energieklasse;Quadratmeterpreise;wohnflaeche;aktueller_immobilienwert;aktuelles_LtV;darlehenbetrag;Risikogewicht;immobilienwert_check;darlehenbetrag_check;ID
Grafing bei München;Landkreis Ebersberg;4,80206E+15;1,19987E+16;;0.0;very low;0;0;F;3896.03;109.25;425641.87;0.75;319231.4;0,2;True;True;3238
Zorneding;Landkreis Ebersberg;4,80884E+15;1,18289E+15;;0.0;very low;0;0;H;3896.03;111.0;432472.16;0.43;185484.52;0,25;True;True;3239
Zorneding;Landkreis Ebersberg;4,81151E+15;1,1827E+16;;0.0;very low;0;0;F;3896.03;118.7;462440.55;0.48;223626.12;0,3;True;True;3240
Oberpframmern;Landkreis Ebersberg;4,80123E+16;1,18159E+16;;0.0;very low;0;0;D;3896.03;80.0;311682.39;0.6;186125.35;0,2;True;True;3241
Baiern;Landkreis Ebersberg;4,80045E+15;1,18725E+16;;0.0;very low;0;0;B;3896.03;80.0;311682.39;0.62;193122.39;0,2;True;True;3242
Baiern;Landkreis Ebersberg;4,79607E+15;1,19244E+16;;0.0;very low;0;0;D;3896.03;159.93;623095.45;0.6;371469.08;0,25;True;True;3243
Glonn;Landkreis Ebersberg;4,79989E+15;1,18341E+16;;0.0;very low;0;0;C;3896.03;80.0;311682.39;0.61;190895.87;0,2;True;True;3244
Glonn;Landkreis Ebersberg;4,79783E+15;1,18659E+16;;0.0;very low;0;0;D;3896.03;135.35;527324.57;0.5;261118.78;0,3;True;True;3245
München;;4,81097E+15;1,17104E+16;;0.0;very low;0;0;A+;5297.69;155.13;821824.56;0.73;601409.49;0,2;True;True;3246
München;;4,80973E+15;1,16846E+16;;0.0;very low;0;0;H;5297.69;103.32;547360.51;0.57;311989.04;0,2;True;True;3247
München;;4,8113E+15;1,16979E+16;;0.0;very low;0;0;D;5297.69;85.18;451254.41;0.69;309793.16;0,2;True;True;3248
München;;4,81034E+15;1,16902E+16;;0.0;very low;0;0;F;5297.69;157.69;835387.62;0.72;601884.5;0,2;True;True;3249
München;;4,81121E+15;1,16995E+16;;0.0;very low;0;0;H;5297.69;161.2;853969.95;0.61;520997.22;0,2;True;True;3250
München;;4,81018E+15;1,1679E+16;;0.0;very low;0;0;D;5297.69;85.89;455011.65;0.57;258089.93;0,2;True;True;3251
Erding;Landkreis Erding;4,83175E+15;1,18957E+16;;0.0;very low;0;0;G;2625.96;95.43;250608.02;0.56;140341.47;0,3;True;True;3252
Erding;Landkreis Erding;4,82709E+15;1,18914E+15;;0.0;very low;0;0;C;2625.96;80.0;210076.68;0.67;141634.57;0,3;True;True;3253
Erding;Landkreis Erding;4,83139E+15;1,19029E+14;;0.0;very low;0;0;B;2625.96;80.0;210076.68;0.54;113588.53;0,2;True;True;3254
Erding;Landkreis Erding;4,83158E+15;1,19256E+16;;0.0;very low;0;0;E;2625.96;159.18;417991.47;0.44;183674.02;0,3;True;True;3255
Erding;Landkreis Erding;4,83002E+16;1,19159E+15;;0.0;very low;0;0;E;2625.96;82.14;215706.87;0.69;149429.06;0,2;True;True;3256
Erding;Landkreis Erding;4,82995E+15;1,19364E+16;;0.0;very low;0;0;C;2625.96;119.51;313827.99;0.46;145719.52;0,2;True;True;3257
Erding;Landkreis Erding;4,83515E+15;1,19002E+15;;0.0;very low;0;0;A+;2625.96;159.08;417736.38;0.75;313302.29;0,2;True;True;3258
Erding;Landkreis Erding;4,82695E+15;1,18695E+16;;0.0;very low;0;0;C;2625.96;163.54;429461.49;0.7;300306.73;0,25;True;True;3259
Erding;Landkreis Erding;4,83567E+15;1,19222E+15;;0.0;very low;0;0;A+;2625.96;136.16;357561.83;0.54;192176.51;0,3;True;True;3260
Wörth;Landkreis Erding;4,82438E+15;1,19114E+16;;0.0;very low;0;0;A+;2625.96;80.0;210076.68;0.48;101762.75;0,2;True;True;3261
Pastetten;Landkreis Erding;4,82061E+16;1,19715E+16;;0.0;very low;0;0;H;2625.96;80.0;210076.68;0.59;123186.71;0,3;True;True;3262
Berglern;Landkreis Erding;4,83896E+15;1,19054E+16;;0.0;very low;0;0;G;2625.96;114.98;301920.94;0.67;202061.61;0,2;True;True;3263
München;;4,80639E+15;1,15087E+16;;0.0;very low;0;0;C;5297.69;80.0;423814.82;0.75;317861.11;0,2;True;True;3264
München;;4,80693E+15;1,15148E+16;;0.0;very low;0;0;B;5297.69;103.98;550864.71;0.75;410767.5;0,3;True;True;3265
München;;4,80758E+15;1,15282E+16;;0.0;very low;0;0;G;5297.69;80.0;423814.82;0.53;226220.41;0,3;True;True;3266
München;;4,80901E+16;1,15295E+16;;0.0;very low;0;0;B;5297.69;150.65;798078.57;0.5;397048.73;0,2;True;True;3267
Neuching;Landkreis Erding;4,82474E+15;1,18465E+16;;0.0;very low;0;0;G;2625.96;105.28;276448.55;0.49;135867.59;0,2;True;True;3268
Walpertskirchen;Landkreis Erding;4,82772E+15;1,19472E+15;;0.0;very low;0;0;D;2625.96;135.3;355286.78;0.57;202123.47;0,2;True;True;3269
Moosinning;Landkreis Erding;4,8271E+15;1,18433E+16;;0.0;very low;0;0;D;2625.96;142.22;373470.01;0.54;203222.12;0,2;True;True;3270
Wartenberg;Landkreis Erding;4,84038E+16;1,20107E+15;;0.0;very low;0;0;H;2625.96;116.11;304911.15;0.55;166800.33;0,2;True;True;3271
Finsing;Landkreis Erding;4,82266E+15;1,17895E+16;;0.0;very low;0;0;D;2625.96;131.38;344996.37;0.65;224683.76;0,2;True;True;3272
Hebertshausen;Landkreis Dachau;4,82544E+15;1,15854E+16;;0.0;very low;0;0;B;3357.73;99.87;335320.17;0.49;164311.71;0,2;True;True;3273
Hebertshausen;Landkreis Dachau;4,82318E+15;1,15391E+16;;0.0;very low;0;0;B;3357.73;89.59;300810.38;0.47;140839.56;0,2;True;True;3274
Hebertshausen;Landkreis Dachau;4,82544E+15;1,15148E+16;;0.0;very low;0;0;C;3357.73;97.82;328439.62;0.75;246329.72;0,2;True;True;3275
Oberschleißheim;Landkreis München;4,82388E+15;1,15822E+15;;0.0;very low;0;0;A;5281.56;112.69;595195.61;0.49;293058.95;0,3;True;True;3276
Oberschleißheim;Landkreis München;4,8251E+16;1,15586E+15;;0.0;very low;0;0;A+;5281.56;80.0;422524.98;0.75;316148.62;0,2;True;True;3277
Oberschleißheim;Landkreis München;4,82491E+15;1,15066E+16;;0.0;very low;0;0;D;5281.56;80.88;427184.8;0.49;208901.26;0,2;True;True;3278
Buxheim;Landkreis Eichstätt;4,88368E+15;1,12686E+16;;0.0;very low;0;0;G;2030.45;153.9;312479.23;0.73;229282.65;0,2;True;True;3279
Apfeltrach;Landkreis Unterallgäu;4,79877E+15;1,04601E+16;;0.0;very low;0;0;C;1829.69;115.68;211649.95;0.71;149603.71;0,3;True;True;3280
Dirlewang;Landkreis Unterallgäu;4,79665E+15;1,045E+16;;0.0;very low;0;0;C;1829.69;119.21;218112.8;0.6;131699.95;0,2;True;True;3281
Kaltental;Landkreis Ostallgäu;4,79218E+15;1,07741E+16;;0.0;very low;0;0;C;2032.01;94.27;191558.53;0.69;132486.5;0,2;True;True;3282
Osterzell;Landkreis Ostallgäu;4,78706E+15;1,07348E+16;;0.0;very low;0;0;A;2032.01;115.45;234585.69;0.47;109959.96;0,2;True;True;3283
Rettenbach a.Auerberg;Landkreis Ostallgäu;4,77462E+15;1,07282E+16;;0.0;very low;0;0;A;2032.01;140.94;286388.29;0.75;214791.22;0,2;True;True;3284
Stötten a.Auerberg;Landkreis Ostallgäu;4,77724E+15;1,07535E+15;;0.0;very low;0;0;B;2032.01;80.0;162560.82;0.68;110707.14;0,2;True;True;3285
Aitrang;Landkreis Ostallgäu;4,78276E+14;1,04851E+16;;0.0;very low;0;0;D;2032.01;93.97;190947.38;0.55;104936.62;0,25;True;True;3286
Kraftisried;Landkreis Ostallgäu;4,77484E+15;1,0513E+16;;0.0;very low;0;0;G;2032.01;94.98;192991.66;0.67;130113.19;0,25;True;True;3287
Unterthingau;Landkreis Ostallgäu;4,77596E+15;1,05038E+16;;0.0;very low;0;0;A;2032.01;112.33;228262.72;0.72;164114.96;0,2;True;True;3288
Günzach;Landkreis Ostallgäu;4,78663E+15;1,04201E+16;;0.0;very low;0;0;E;2032.01;101.54;206324.99;0.72;149019.73;0,2;True;True;3289
Günzach;Landkreis Ostallgäu;4,78674E+15;1,04385E+15;;0.0;very low;0;0;F;2032.01;118.12;240020.53;0.48;114888.76;0,2;True;True;3290
Obergünzburg;Landkreis Ostallgäu;4,7806E+15;1,04162E+16;;0.0;very low;0;0;D;2032.01;80.0;162560.82;0.61;99916.35;0,2;True;True;3291
Obergünzburg;Landkreis Ostallgäu;4,784E+15;1,04058E+16;;0.0;very low;0;0;D;2032.01;80.0;162560.82;0.7;114295.22;0,2;True;True;3292
Eisenberg;Landkreis Ostallgäu;4,76228E+15;1,05841E+16;;0.0;very low;0;0;H;2032.01;90.72;184334.16;0.46;83928.39;0,25;True;True;3293
Seeg;Landkreis Ostallgäu;4,76898E+15;1,06647E+15;;0.0;very low;0;0;G;2032.01;80.0;162560.82;0.68;110596.63;0,3;True;True;3294
Marktoberdorf;Landkreis Ostallgäu;4,77864E+15;1,0607E+16;;0.0;very low;0;0;H;2032.01;120.14;244133.96;0.43;104832.9;0,2;True;True;3295
Marktoberdorf;Landkreis Ostallgäu;4,76927E+15;1,05705E+16;;0.0;very low;0;0;E;2032.01;166.66;338648.41;0.48;164023.9;0,25;True;True;3296
Marktoberdorf;Landkreis Ostallgäu;4,77053E+15;1,06386E+16;;0.0;very low;0;0;C;2032.01;80.0;162560.82;0.7;114576.16;0,2;True;True;3297
Marktoberdorf;Landkreis Ostallgäu;4,7708E+15;1,05571E+16;;0.0;very low;0;0;D;2032.01;161.89;328953.1;0.61;199142.89;0,2;True;True;3298
Marktoberdorf;Landkreis Ostallgäu;4,77772E+15;1,06753E+16;;0.0;very low;0;0;D;2032.01;83.93;170555.14;0.5;85890.45;0,25;True;True;3299
Wald;Landkreis Ostallgäu;4,77556E+15;1,05487E+16;;0.0;very low;0;0;E;2032.01;153.76;312433.93;0.73;227822.01;0,2;True;True;3300
Wald;Landkreis Ostallgäu;4,77843E+15;1,06597E+15;;0.0;very low;0;0;D;2032.01;97.04;197192.31;0.68;133777.6;0,25;True;True;3301
Wald;Landkreis Ostallgäu;4,77259E+15;1,05541E+16;;0.0;very low;0;0;D;2032.01;164.79;334862.48;0.44;147620.73;0,2;True;True;3302
Wald;Landkreis Ostallgäu;4,7768E+15;1,05857E+16;;0.0;very low;0;0;E;2032.01;81.23;165056.79;0.47;77376.76;0,2;True;True;3303
Wald;Landkreis Ostallgäu;4,77859E+15;1,0689E+16;;0.0;very low;0;0;E;2032.01;82.19;167012.27;0.54;90445.03;0,2;True;True;3304
Bergkirchen;Landkreis Dachau;4,82563E+15;1,13315E+16;;0.0;very low;0;0;C;3357.73;158.64;532685.55;0.7;372335.16;0,3;True;True;3305
Bergkirchen;Landkreis Dachau;4,82469E+15;1,13608E+16;;0.0;very low;0;0;C;3357.73;97.11;326063.69;0.48;155758.71;0,2;True;True;3306
Nürnberg;;4,94524E+15;1,11085E+16;;0.0;very low;0;0;G;2495.41;80.0;199633.17;0.44;88114.97;0,2;True;True;3307
Nürnberg;;4,9451E+16;1,10724E+16;;0.0;very low;0;0;C;2495.41;153.01;381825.27;0.61;232436.78;0,2;True;True;3308
Altomünster;Landkreis Dachau;4,83656E+15;1,12583E+15;;0.0;very low;0;0;F;3357.73;134.32;451018.44;0.72;324521.69;0,3;True;True;3309
Altomünster;Landkreis Dachau;4,8363E+16;1,12057E+16;;0.0;very low;0;0;D;3357.73;127.21;427133.26;0.43;184706.36;0,2;True;True;3310
Odelzhausen;Landkreis Dachau;4,82913E+15;1,11613E+16;;0.0;very low;0;0;G;3357.73;142.22;477527.31;0.7;334384.74;0,3;True;True;3311
Odelzhausen;Landkreis Dachau;4,82917E+15;1,11949E+16;;0.0;very low;0;0;C;3357.73;83.2;279365.55;0.43;120403.99;0,2;True;True;3312
Pfaffenhofen an der Glonn;Landkreis Dachau;4,82942E+15;1,11554E+16;;0.0;very low;0;0;E;3357.73;113.09;379723.62;0.65;248054.45;0,2;True;True;3313
Pfaffenhofen an der Glonn;Landkreis Dachau;4,83267E+15;1,11815E+16;;0.0;very low;0;0;D;3357.73;118.95;399408.77;0.57;228869.53;0,2;True;True;3314
Haimhausen;Landkreis Dachau;4,83186E+15;1,1556E+16;;0.0;very low;0;0;B;3357.73;153.75;516242.3;0.75;386937.45;0,2;True;True;3315
Röhrmoos;Landkreis Dachau;4,83317E+15;1,15041E+16;;0.0;very low;0;0;H;3357.73;115.7;388476.86;0.74;286842.25;0,2;True;True;3316
Röhrmoos;Landkreis Dachau;4,83501E+15;1,14631E+15;;0.0;very low;0;0;E;3357.73;80.0;268618.54;0.53;143534.98;0,2;True;True;3317
Petershausen;Landkreis Dachau;4,84011E+16;1,14526E+16;;0.0;very low;0;0;F;3357.73;80.0;268618.54;0.54;144601.58;0,2;True;True;3318
Petershausen;Landkreis Dachau;4,84025E+15;1,15031E+16;;0.0;very low;0;0;H;3357.73;80.0;268618.54;0.6;161541.77;0,25;True;True;3319
Schwabhausen;Landkreis Dachau;4,82844E+16;1,13521E+16;;0.0;very low;0;0;E;3357.73;89.06;299047.75;0.75;224285.81;0,2;True;True;3320
Schwabhausen;Landkreis Dachau;4,82972E+15;1,13882E+13;;0.0;very low;0;0;E;3357.73;120.38;404199.25;0.56;224845.12;0,3;True;True;3321
Nürnberg;;4,94609E+15;1,11057E+16;;0.0;very low;0;0;D;2495.41;103.92;259311.14;0.74;192823.27;0,2;True;True;3322
Nürnberg;;4,94627E+16;1,10967E+15;;0.0;very low;0;0;E;2495.41;138.75;346242.94;0.68;236842.78;0,2;True;True;3323
Nürnberg;;4,94577E+15;1,11116E+15;;0.0;very low;0;0;E;2495.41;80.0;199633.17;0.59;117430.55;0,25;True;True;3324
Nürnberg;;4,94593E+15;1,11055E+16;;0.0;very low;0;0;E;2495.41;148.59;370799.47;0.66;246128.71;0,2;True;True;3325
Nürnberg;;4,94554E+16;1,10895E+16;;0.0;very low;0;0;B;2495.41;102.33;255350.98;0.46;117737.5;0,2;True;True;3326
Nürnberg;;4,94524E+15;1,10949E+15;;0.0;very low;0;0;D;2495.41;159.07;396941.9;0.74;295673.48;0,2;True;True;3327
Weichs;Landkreis Dachau;4,83786E+15;1,14117E+16;;0.0;very low;0;0;H;3357.73;100.5;337448.11;0.48;163189.47;0,25;True;True;3328
Vierkirchen;Landkreis Dachau;4,83673E+15;1,14705E+16;;0.0;very low;0;0;C;3357.73;119.84;402379.46;0.57;229998.28;0,25;True;True;3329
Markt Indersdorf;Landkreis Dachau;4,84106E+15;1,13992E+16;;0.0;very low;0;0;A;3357.73;148.54;498749.11;0.66;326767.59;0,2;True;True;3330
Markt Indersdorf;Landkreis Dachau;4,83883E+15;1,1337E+16;;0.0;very low;0;0;D;3357.73;163.77;549902.04;0.66;362275.26;0,2;True;True;3331
Markt Indersdorf;Landkreis Dachau;4,83623E+16;1,13849E+15;;0.0;very low;0;0;H;3357.73;135.92;456392.79;0.65;296797.18;0,2;True;True;3332
Erdweg;Landkreis Dachau;4,83053E+15;1,12793E+16;;0.0;very low;0;0;E;3357.73;80.0;268618.54;0.56;151762.32;0,25;True;True;3333
Nürnberg;;4,94614E+15;1,10862E+16;;0.0;very low;0;0;F;2495.41;144.68;361032.1;0.64;231217.47;0,3;True;True;3334
Nürnberg;;4,9463E+15;1,10933E+16;;0.0;very low;0;0;H;2495.41;141.95;354232.93;0.49;172161.64;0,2;True;True;3335
Nürnberg;;4,94643E+16;1,10925E+16;;0.0;very low;0;0;A;2495.41;110.56;275895.47;0.49;135529.97;0,2;True;True;3336
Nürnberg;;4,94616E+15;1,10896E+16;;0.0;very low;0;0;H;2495.41;158.63;395843.11;0.45;178079.41;0,2;True;True;3337
Nürnberg;;4,94934E+15;1,10854E+16;;0.0;very low;0;0;D;2495.41;101.74;253890.13;0.53;133885.6;0,3;True;True;3338
Nürnberg;;4,95027E+15;1,11006E+14;;0.0;very low;0;0;A;2495.41;100.11;249824.85;0.65;163263.57;0,25;True;True;3339
Nürnberg;;4,94951E+16;1,1094E+16;;0.0;very low;0;0;F;2495.41;109.07;272181.38;0.75;204136.04;0,2;True;True;3340
Nürnberg;;4,94884E+15;1,10932E+16;;0.0;very low;0;0;F;2495.41;120.08;299652.84;0.67;202062.73;0,2;True;True;3341
Pörnbach;Landkreis Pfaffenhofen an der Ilm;4,86196E+14;1,14683E+16;;0.0;very low;0;0;A+;2402.84;150.41;361421.43;0.61;220565.54;0,2;True;True;3342
Schweitenkirchen;Landkreis Pfaffenhofen an der Ilm;4,85419E+15;1,1624E+16;;0.0;very low;0;0;D;2402.84;120.74;290123.39;0.52;151095.93;0,3;True;True;3343
Hettenshausen;Landkreis Pfaffenhofen an der Ilm;4,85525E+15;1,14062E+16;;0.0;very low;0;0;D;2402.84;94.17;226269.4;0.64;145857.2;0,3;True;True;3344
Hettenshausen;Landkreis Pfaffenhofen an der Ilm;4,8574E+15;1,15192E+16;;0.0;very low;0;0;C;2402.84;161.54;388149.11;0.48;186929.72;0,25;True;True;3345
Hettenshausen;Landkreis Pfaffenhofen an der Ilm;4,85708E+15;1,15063E+16;;0.0;very low;0;0;F;2402.84;132.02;317215.55;0.74;236049.43;0,2;True;True;3346
Hettenshausen;Landkreis Pfaffenhofen an der Ilm;4,85803E+14;1,14674E+15;;0.0;very low;0;0;D;2402.84;80.0;192227.02;0.51;98048.38;0,2;True;True;3347
Hettenshausen;Landkreis Pfaffenhofen an der Ilm;4,85413E+15;1,14521E+16;;0.0;very low;0;0;C;2402.84;95.49;229439.23;0.44;100121.83;0,3;True;True;3348
Hettenshausen;Landkreis Pfaffenhofen an der Ilm;4,8503E+15;1,15018E+14;;0.0;very low;0;0;D;2402.84;80.0;192227.02;0.75;144170.27;0,2;True;True;3349
Hettenshausen;Landkreis Pfaffenhofen an der Ilm;4,85185E+15;1,15692E+15;;0.0;very low;0;0;C;2402.84;100.71;241987.56;0.65;156514.12;0,25;True;True;3350
Pfaffenhofen an der Ilm;Landkreis Pfaffenhofen an der Ilm;4,85371E+14;1,15393E+15;;0.0;very low;0;0;E;2402.84;80.0;192227.02;0.57;109607.66;0,25;True;True;3351
Pfaffenhofen an der Ilm;Landkreis Pfaffenhofen an der Ilm;4,85419E+15;1,15402E+16;;0.0;very low;0;0;E;2402.84;129.79;311871.26;0.64;199616.93;0,2;True;True;3352
Pfaffenhofen an der Ilm;Landkreis Pfaffenhofen an der Ilm;4,85728E+15;1,14299E+15;;0.0;very low;0;0;B;2402.84;80.0;192227.02;0.69;132991.01;0,3;True;True;3353
Pfaffenhofen an der Ilm;Landkreis Pfaffenhofen an der Ilm;4,85847E+15;1,15165E+16;;0.0;very low;0;0;B;2402.84;130.1;312600.95;0.75;234450.72;0,2;True;True;3354
Pfaffenhofen an der Ilm;Landkreis Pfaffenhofen an der Ilm;4,85466E+15;1,15014E+16;;0.0;very low;0;0;A;2402.84;98.33;236268.62;0.71;168689.51;0,2;True;True;3355
Pfaffenhofen an der Ilm;Landkreis Pfaffenhofen an der Ilm;4,85833E+15;1,15134E+16;;0.0;very low;0;0;C;2402.84;131.34;315593.94;0.55;174673.38;0,2;True;True;3356
Pfaffenhofen an der Ilm;Landkreis Pfaffenhofen an der Ilm;4,85453E+15;1,15187E+16;HQ 100;0.001;low;0;0;C;2402.84;121.21;291252.25;0.44;128398.93;0,25;True;True;3357
Vohburg an der Donau;Landkreis Pfaffenhofen an der Ilm;4,87592E+14;1,16183E+15;HQ 100;0.001;low;1,28;0,078;D;2402.84;80.0;192227.02;0.7;134598.44;0,25;True;True;3358
Vohburg an der Donau;Landkreis Pfaffenhofen an der Ilm;4,87594E+14;1,16126E+16;HQ 40;0.025;medium;1,52;0;A;2402.84;117.59;282541.01;0.53;149025.96;0,2;True;True;3359
Geisenfeld;Landkreis Pfaffenhofen an der Ilm;4,86851E+15;1,16492E+16;;0.0;very low;0;0;B;2402.84;168.16;404064.53;0.68;276462.83;0,2;True;True;3360
Geisenfeld;Landkreis Pfaffenhofen an der Ilm;4,86828E+15;1,15664E+16;;0.0;very low;0;0;C;2402.84;163.68;393289.47;0.55;215254.61;0,2;True;True;3361
Geisenfeld;Landkreis Pfaffenhofen an der Ilm;4,87059E+15;1,16089E+16;;0.0;very low;0;0;A+;2402.84;127.86;307216.08;0.63;194557.64;0,2;True;True;3362
Manching;Landkreis Pfaffenhofen an der Ilm;4,87056E+15;1,14865E+16;;0.0;very low;0;0;D;2402.84;113.56;272864.52;0.73;198049.26;0,2;True;True;3363
Manching;Landkreis Pfaffenhofen an der Ilm;4,8718E+15;1,15142E+16;;0.0;very low;0;0;F;2402.84;107.39;258033.58;0.73;188173.32;0,2;True;True;3364
Manching;Landkreis Pfaffenhofen an der Ilm;4,87014E+16;1,14525E+16;;0.0;very low;0;0;A+;2402.84;93.31;224218.61;0.73;163355.92;0,2;True;True;3365
Freising;Landkreis Freising;4,84415E+15;1,17206E+16;;0.0;very low;0;0;G;2759.1;149.14;411502.04;0.68;278239.39;0,2;True;True;3366
Freising;Landkreis Freising;4,83529E+16;1,16964E+15;;0.0;very low;0;0;D;2759.1;118.85;327917.03;0.75;245937.77;0,3;True;True;3367
Freising;Landkreis Freising;4,84228E+15;1,17438E+16;;0.0;very low;0;0;H;2759.1;157.52;434623.63;0.72;312798.05;0,2;True;True;3368
Freising;Landkreis Freising;4,83907E+14;1,17465E+16;HQ 50;0.02;medium;0;0;G;2759.1;84.73;233786.08;0.43;100125.09;0,2;True;True;3369
Freising;Landkreis Freising;4,8408E+15;1,17234E+16;;0.0;very low;0;0;A;2759.1;124.55;343652.82;0.53;180829.42;0,25;True;True;3370
Freising;Landkreis Freising;4,83805E+15;1,17334E+15;;0.0;very low;0;0;C;2759.1;94.91;261853.2;0.55;144370.03;0,3;True;True;3371
Freising;Landkreis Freising;4,83733E+15;1,16679E+16;;0.0;very low;0;0;F;2759.1;80.0;220728.22;0.57;125601.16;0,2;True;True;3372
Nandlstadt;Landkreis Freising;4,85343E+15;1,183E+16;;0.0;very low;0;0;G;2759.1;115.89;319739.27;0.47;150592.26;0,3;True;True;3373
Zolling;Landkreis Freising;4,84605E+15;1,17955E+16;;0.0;very low;0;0;D;2759.1;129.51;357340.05;0.74;262927.32;0,2;True;True;3374
Marzling;Landkreis Freising;4,83732E+15;1,1797E+16;;0.0;very low;0;0;C;2759.1;92.87;256234.74;0.45;114593.7;0,2;True;True;3375
Haag an der Amper;Landkreis Freising;4,84633E+15;1,18751E+16;HQ 20;0.05;high;2,1;0,16;D;2759.1;95.07;262302.67;0.56;146646.92;0,2;True;True;3376
Nürnberg;;4,94758E+16;1,1128E+16;;0.0;very low;0;0;D;2495.41;105.9;264264.24;0.62;162687.01;0,2;True;True;3377
Nürnberg;;4,94842E+15;1,11397E+16;;0.0;very low;0;0;D;2495.41;158.06;394426.86;0.65;256322.67;0,2;True;True;3378
Nürnberg;;4,94753E+15;1,11487E+16;;0.0;very low;0;0;E;2495.41;119.37;297876.38;0.73;218763.91;0,2;True;True;3379
Nürnberg;;4,9474E+15;1,11098E+15;;0.0;very low;0;0;A+;2495.41;80.0;199633.17;0.74;148265.66;0,25;True;True;3380
Nürnberg;;4,94753E+15;1,11491E+16;;0.0;very low;0;0;H;2495.41;80.0;199633.17;0.59;118311.92;0,2;True;True;3381
Nürnberg;;4,94743E+16;1,11264E+16;;0.0;very low;0;0;E;2495.41;80.0;199633.17;0.43;85895.66;0,2;True;True;3382
Freising;Landkreis Freising;4,83544E+15;1,1778E+16;;0.0;very low;0;0;C;2759.1;132.1;364473.0;0.75;273354.75;0,2;True;True;3383
Freising;Landkreis Freising;4,84065E+15;1,17894E+16;;0.0;very low;0;0;B;2759.1;82.66;228078.99;0.5;114133.48;0,3;True;True;3384
Freising;Landkreis Freising;4,83705E+15;1,17598E+16;;0.0;very low;0;0;H;2759.1;87.34;240980.71;0.75;180535.94;0,3;True;True;3385
Freising;Landkreis Freising;4,83542E+15;1,17285E+16;;0.0;very low;0;0;C;2759.1;151.89;419078.51;0.64;266679.39;0,25;True;True;3386
Freising;Landkreis Freising;4,83638E+16;1,17502E+16;;0.0;very low;0;0;B;2759.1;97.28;268399.8;0.54;145948.81;0,3;True;True;3387
Langenbach;Landkreis Freising;4,84564E+15;1,18664E+16;;0.0;very low;0;0;D;2759.1;97.56;269170.39;0.75;201877.8;0,2;True;True;3388
Hallbergmoos;Landkreis Freising;4,83348E+15;1,17368E+16;;0.0;very low;0;0;E;2759.1;102.79;283596.09;0.62;175985.32;0,2;True;True;3389
Hallbergmoos;Landkreis Freising;4,83194E+14;1,17297E+15;;0.0;very low;0;0;G;2759.1;97.24;268302.8;0.52;140214.42;0,3;True;True;3390
Hallbergmoos;Landkreis Freising;4,82832E+14;1,17015E+15;;0.0;very low;0;0;H;2759.1;82.46;227524.67;0.75;170643.5;0,2;True;True;3391
Hohenkammer;Landkreis Freising;4,84197E+15;1,15461E+16;;0.0;very low;0;0;H;2759.1;120.49;332443.7;0.42;139802.15;0,3;True;True;3392
Kranzberg;Landkreis Freising;4,84034E+15;1,16612E+16;;0.0;very low;0;0;F;2759.1;100.22;276526.47;0.75;207394.86;0,2;True;True;3393
Allershausen;Landkreis Freising;4,84425E+15;1,1614E+16;;0.0;very low;0;0;H;2759.1;151.29;417411.42;0.61;254412.65;0,2;True;True;3394
Nürnberg;;4,94443E+15;1,11312E+16;;0.0;very low;0;0;B;2495.41;92.39;230556.42;0.68;156986.68;0,2;True;True;3395
Nürnberg;;4,94308E+15;1,11325E+16;;0.0;very low;0;0;G;2495.41;146.95;366699.63;0.6;221441.81;0,2;True;True;3396
Nürnberg;;4,94459E+15;1,11096E+16;;0.0;very low;0;0;H;2495.41;147.55;368193.21;0.52;190499.23;0,2;True;True;3397
Nürnberg;;4,94448E+16;1,11457E+15;;0.0;very low;0;0;A;2495.41;96.39;240522.32;0.72;173909.19;0,2;True;True;3398
Nürnberg;;4,94516E+15;1,11357E+16;;0.0;very low;0;0;G;2495.41;80.03;199719.07;0.6;119783.18;0,2;True;True;3399
Nürnberg;;4,94688E+16;1,11375E+16;;0.0;very low;0;0;H;2495.41;155.74;388634.58;0.43;166954.33;0,2;True;True;3400
Nürnberg;;4,94643E+15;1,116E+15;;0.0;very low;0;0;H;2495.41;106.68;266217.53;0.61;162909.89;0,2;True;True;3401
Nürnberg;;4,94654E+16;1,11474E+16;;0.0;very low;0;0;A+;2495.41;160.53;400579.14;0.74;295701.93;0,2;True;True;3402
Nürnberg;;4,94679E+15;1,11324E+16;;0.0;very low;0;0;H;2495.41;155.18;387244.0;0.63;242087.77;0,2;True;True;3403
München;;4,81408E+15;1,15177E+14;;0.0;very low;0;0;A+;5297.69;89.36;473421.22;0.49;232290.94;0,3;True;True;3404
München;;4,81425E+15;1,14848E+15;;0.0;very low;0;0;C;5297.69;119.89;635162.16;0.65;411003.04;0,2;True;True;3405
München;;4,81429E+15;1,14853E+15;;0.0;very low;0;0;D;5297.69;141.37;748912.97;0.5;370996.0;0,3;True;True;3406
München;;4,81436E+16;1,14929E+15;;0.0;very low;0;0;G;5297.69;167.93;889649.95;0.47;420639.66;0,3;True;True;3407
München;;4,81445E+15;1,1509E+16;;0.0;very low;0;0;H;5297.69;141.59;750115.61;0.57;430997.67;0,3;True;True;3408
München;;4,81436E+15;1,14986E+15;;0.0;very low;0;0;D;5297.69;80.0;423814.82;0.72;306794.98;0,2;True;True;3409
