ort;landkreis;latitude;longitude;GEB_HQ;AEP;flood_risk;Energieklasse;Quadratmeterpreise;aktuelles_LtV;darlehenbetrag;aktueller_immobilienwert;wohnflaeche;Schadensfaktor
Germering;Landkreis Fürstenfeldbruck;4,81305E+15;1,1329E+16;;0;very low;E;7003;0,2834;119072,53;420180;60;0,04
Germering;Landkreis Fürstenfeldbruck;4,81449E+14;1,13863E+16;;0;very low;H;7003;0,5866;246490,29;420180;60;0,04
Germering;Landkreis Fürstenfeldbruck;4,81248E+15;1,1402E+16;;0;very low;G;7003;0,7322;307655,85;420180;60;0,04
Germering;Landkreis Fürstenfeldbruck;4,81423E+16;1,13581E+16;;0;very low;G;7003;0,447;187818,85;420180;60;0,04
Germering;Landkreis Fürstenfeldbruck;4,81224E+14;1,13545E+16;;0;very low;H;7003;0,5887;247340,88;420180;60;0,04
Germering;Landkreis Fürstenfeldbruck;4,81437E+15;1,13604E+15;;0;very low;E;7003;0,5293;222398,48;420180;60;0,04
Germering;Landkreis Fürstenfeldbruck;4,81346E+16;1,13809E+16;;0;very low;F;7003;0,4851;203816,01;420180;60;0,04
Germering;Landkreis Fürstenfeldbruck;4,812E+15;1,13888E+16;;0;very low;A;7003;0,4868;204540,24;420180;60;0,04
Germering;Landkreis Fürstenfeldbruck;4,81385E+15;1,13511E+16;;0;very low;C;7003;0,1917;80534,1;420180;60;0,04
Puchheim;Landkreis Fürstenfeldbruck;4,8141E+15;1,13305E+16;;0;very low;F;7003;0,5041;211812,46;420180;60;0,04
Puchheim;Landkreis Fürstenfeldbruck;4,8151E+15;1,13564E+16;;0;very low;E;7003;0,4961;208456,44;420180;60;0,04
Puchheim;Landkreis Fürstenfeldbruck;4,81876E+15;1,13544E+16;;0;very low;A+;7003;0,4217;177183,12;420180;60;0,04
Puchheim;Landkreis Fürstenfeldbruck;4,81398E+15;1,13255E+16;;0;very low;D;7003;0,6696;281368,47;420180;60;0,04
Puchheim;Landkreis Fürstenfeldbruck;4,81519E+16;1,13548E+14;;0;very low;H;7003;0,2907;160894,67;553455,75;79,03;0,04
Mammendorf;Landkreis Fürstenfeldbruck;4,81976E+16;1,11533E+16;;0;very low;E;7003;0,4166;175057,73;420180;60;0,04
Schöngeising;Landkreis Fürstenfeldbruck;4,81476E+14;1,12146E+16;HQ 100;0,001;low;A+;7003;0,5479;230206,7;420180;60;0,1
Gräfelfing;Landkreis München;4,8125E+15;1,14343E+16;;0;very low;D;10155;0,4983;303639,23;609300;60;0,04
Gräfelfing;Landkreis München;4,81273E+15;1,14288E+16;;0;very low;A+;10155;0,266;163954,75;616358,71;60,7;0,04
Gräfelfing;Landkreis München;4,81216E+15;1,14556E+16;;0;very low;C;10155;0,4871;296798,25;609300;60;0,04
Egenhofen;Landkreis Fürstenfeldbruck;4,82705E+15;1,11973E+16;;0;very low;G;7003;0,3211;170695,77;531636,83;75,92;0,04
Maisach;Landkreis Fürstenfeldbruck;4,82534E+15;1,12958E+16;;0;very low;F;7003;0,1348;84954,47;630355,5;90,01;0,04
Maisach;Landkreis Fürstenfeldbruck;4,82089E+15;1,12392E+16;;0;very low;D;7003;0,3962;211772,84;534561,47;76,33;0,04
Maisach;Landkreis Fürstenfeldbruck;4,82094E+15;1,12867E+16;;0;very low;A;7003;0,4823;202672,51;420180;60;0,04
Grafrath;Landkreis Fürstenfeldbruck;4,81348E+14;1,11401E+16;;0;very low;C;7003;0,734;308430,56;420180;60;0,04
Fürstenfeldbruck;Landkreis Fürstenfeldbruck;4,81671E+14;1,12101E+16;;0;very low;F;7003;0,512;215152,74;420180;60;0,04
Fürstenfeldbruck;Landkreis Fürstenfeldbruck;4,81673E+15;1,12063E+15;;0;very low;F;7003;0,2632;110570,41;420180;60;0,04
Fürstenfeldbruck;Landkreis Fürstenfeldbruck;4,81937E+16;1,12101E+16;;0;very low;F;7003;0,23;96632,32;420180;60;0,04
Fürstenfeldbruck;Landkreis Fürstenfeldbruck;4,81887E+15;1,12003E+16;;0;very low;G;7003;0,4523;190039,28;420180;60;0,04
Fürstenfeldbruck;Landkreis Fürstenfeldbruck;4,81558E+15;1,12517E+16;;0;very low;E;7003;0,488;205066,5;420180;60;0,04
Fürstenfeldbruck;Landkreis Fürstenfeldbruck;4,81609E+16;1,12344E+16;HQ 100;0,001;low;E;7003;0,1301;98009,96;753157,59;107,55;0,1
Fürstenfeldbruck;Landkreis Fürstenfeldbruck;4,81617E+15;1,12001E+16;;0;very low;E;7003;0,1913;196539,36;1027530,47;146,73;0,04
Fürstenfeldbruck;Landkreis Fürstenfeldbruck;4,81658E+15;1,12344E+16;;0;very low;A;7003;0,6611;277763,33;420180;60;0,04
Fürstenfeldbruck;Landkreis Fürstenfeldbruck;4,81981E+16;1,12647E+16;;0;very low;D;7003;0,52;218505,9;420180;60;0,04
Moorenweis;Landkreis Fürstenfeldbruck;4,81295E+16;1,11023E+16;;0;very low;C;7003;0,4453;187112,07;420180;60;0,04
Olching;Landkreis Fürstenfeldbruck;4,82296E+16;1,13692E+16;;0;very low;E;7003;0,441;185289,11;420180;60;0,04
Olching;Landkreis Fürstenfeldbruck;4,82322E+15;1,13718E+16;;0;very low;B;7003;0,7002;294203,37;420180;60;0,04
Olching;Landkreis Fürstenfeldbruck;4,82064E+15;1,13024E+16;;0;very low;G;7003;0,5335;224168,19;420180;60;0,04
Olching;Landkreis Fürstenfeldbruck;4,82131E+15;1,13187E+16;;0;very low;E;7003;0,5681;238697,44;420180;60;0,04
Olching;Landkreis Fürstenfeldbruck;4,82217E+15;1,13538E+16;;0;very low;F;7003;0,6584;276628,38;420180;60;0,04
Olching;Landkreis Fürstenfeldbruck;4,82213E+15;1,13885E+16;;0;very low;G;7003;0,6836;287239,43;420180;60;0,04
Olching;Landkreis Fürstenfeldbruck;4,81958E+15;1,13171E+16;;0;very low;C;7003;0,3;286458,38;954885,79;136,35;0,04
Gröbenzell;Landkreis Fürstenfeldbruck;4,81827E+15;1,13756E+16;;0;very low;A+;7003;0,5868;246581,51;420180;60;0,04
Gröbenzell;Landkreis Fürstenfeldbruck;4,81897E+15;1,13805E+14;;0;very low;C;7003;0,1268;133774,62;1055223,67;150,68;0,04
Gröbenzell;Landkreis Fürstenfeldbruck;4,81874E+15;1,13636E+16;;0;very low;A+;7003;0,7216;303182,07;420180;60;0,04
Gröbenzell;Landkreis Fürstenfeldbruck;4,81954E+15;1,13877E+16;;0;very low;E;7003;0,4681;205940,57;439954,83;62,82;0,04
Gröbenzell;Landkreis Fürstenfeldbruck;4,81954E+15;1,13824E+16;;0;very low;D;7003;0,5158;216741,41;420180;60;0,04
Eichenau;Landkreis Fürstenfeldbruck;4,81798E+15;1,13247E+16;;0;very low;F;7003;0,3417;159714,66;467423,86;66,75;0,04
Eichenau;Landkreis Fürstenfeldbruck;4,81663E+15;1,13255E+16;;0;very low;C;7003;0,4236;178005,42;420180;60;0,04
Eichenau;Landkreis Fürstenfeldbruck;4,81553E+14;1,13044E+14;;0;very low;C;7003;0,5052;212267,54;420180;60;0,04
Wörthsee;Landkreis Starnberg;4,80858E+15;1,11938E+15;;0;very low;D;9367;0,4573;257025,09;562020;60;0,04
Feldafing;Landkreis Starnberg;4,79382E+16;1,12919E+16;;0;very low;C;9367;0,6135;344802,75;562020;60;0,04
Krailling;Landkreis Starnberg;4,8082E+15;1,14224E+16;;0;very low;G;9367;0,623;350146,39;562020;60;0,04
Krailling;Landkreis Starnberg;4,81027E+15;1,13817E+15;;0;very low;F;9367;0,6114;343618,95;562020;60;0,04
Krailling;Landkreis Starnberg;4,80846E+15;1,14167E+15;;0;very low;H;9367;0,1233;136371,05;1106240,28;118,1;0,04
Krailling;Landkreis Starnberg;4,81085E+15;1,13959E+16;;0;very low;C;9367;0,5151;289469,12;562020;60;0,04
Krailling;Landkreis Starnberg;4,80937E+15;1,13349E+16;;0;very low;D;9367;0,4564;256511,83;562020;60;0,04
Planegg;Landkreis München;4,81104E+15;1,14258E+16;;0;very low;H;10155;0,1996;124027,05;621504,3;61,2;0,04
Planegg;Landkreis München;4,80996E+15;1,14376E+16;;0;very low;H;10155;0,4413;268911,64;609300;60;0,04
Planegg;Landkreis München;4,8107E+15;1,13751E+16;;0;very low;F;10155;0,5053;307898,01;609300;60;0,04
Planegg;Landkreis München;4,81046E+15;1,13763E+16;;0;very low;C;10155;0,0828;98428,06;1189227,28;117,11;0,04
Planegg;Landkreis München;4,81086E+15;1,14511E+16;;0;very low;E;10155;0,2451;149348,85;609300;60;0,04
Starnberg;Landkreis Starnberg;4,8006E+15;1,13328E+16;;0;very low;G;9367;0,4734;266081,26;562020;60;0,04
Starnberg;Landkreis Starnberg;4,80167E+15;1,1379E+16;;0;very low;D;9367;0,5941;333883,11;562020;60;0,04
Starnberg;Landkreis Starnberg;4,80143E+15;1,12913E+16;;0;very low;G;9367;0,1387;145108,68;1046137,14;111,68;0,04
Starnberg;Landkreis Starnberg;4,80073E+15;1,13575E+16;;0;very low;G;9367;0,0775;229686,96;2962357,11;316,25;0,04
Starnberg;Landkreis Starnberg;4,80033E+15;1,13673E+15;;0;very low;F;9367;0,4531;254649,33;562020;60;0,04
Starnberg;Landkreis Starnberg;4,80021E+15;1,13892E+15;;0;very low;C;9367;0,1259;93697,52;743962,94;79,42;0,04
Andechs;Landkreis Starnberg;4,79428E+15;1,12081E+16;;0;very low;F;9367;0,4144;232918,91;562020;60;0,04
Tutzing;Landkreis Starnberg;4,78985E+15;1,12419E+15;;0;very low;C;9367;0,7039;395605,83;562020;60;0,04
Tutzing;Landkreis Starnberg;4,79306E+15;1,12454E+16;;0;very low;D;9367;0,2099;214824,56;1023506,98;109,27;0,04
Inning am Ammersee;Landkreis Starnberg;4,80429E+15;1,11569E+16;;0;very low;H;9367;0,7192;404224,59;562020;60;0,04
Gauting;Landkreis Starnberg;4,80896E+15;1,13002E+15;;0;very low;D;9367;0,0921;105192,38;1141766,67;121,89;0,04
Gauting;Landkreis Starnberg;4,80471E+16;1,13546E+15;;0;very low;G;9367;0,3344;187927,84;562020;60;0,04
Gauting;Landkreis Starnberg;4,80453E+15;1,13754E+16;;0;very low;G;9367;0,1908;283595,57;1486564,08;158,7;0,04
Gauting;Landkreis Starnberg;4,80504E+15;1,14037E+16;;0;very low;G;9367;0,2246;126232,45;562020;60;0,04
Gauting;Landkreis Starnberg;4,80318E+16;1,13482E+16;;0;very low;C;9367;0,2757;154960,89;562020;60;0,04
Neuried;Landkreis München;4,80422E+15;1,13024E+16;;0;very low;A+;10155;0,3011;183468,91;609300;60;0,04
Neuried;Landkreis München;4,80646E+15;1,13929E+16;;0;very low;H;10155;0,0965;58823,36;609300;60;0,04
Neuried;Landkreis München;4,80348E+15;1,12991E+15;;0;very low;D;10155;0,5002;304791,08;609300;60;0,04
Neuried;Landkreis München;4,80359E+15;1,12847E+16;;0;very low;H;10155;0,4788;291715,04;609300;60;0,04
Neuried;Landkreis München;4,80652E+15;1,14031E+16;;0;very low;A+;10155;0,1488;102927,03;691496,18;68,09;0,04
Seefeld;Landkreis Starnberg;4,80283E+15;1,12369E+16;;0;very low;C;9367;0,2624;203320,67;774716,19;82,71;0,04
Seefeld;Landkreis Starnberg;4,80479E+15;1,12195E+15;;0;very low;C;9367;0,5516;310031,93;562020;60;0,04
Weßling;Landkreis Starnberg;4,80468E+15;1,12578E+16;;0;very low;E;9367;0,6542;367645,92;562020;60;0,04
Herrsching am Ammersee;Landkreis Starnberg;4,79655E+15;1,11595E+15;;0;very low;H;9367;0,5463;307010,08;562020;60;0,04
Herrsching am Ammersee;Landkreis Starnberg;4,79991E+15;1,11394E+16;;0;very low;C;9367;0,5808;326438,13;562020;60;0,04
Herrsching am Ammersee;Landkreis Starnberg;4,79838E+15;1,11583E+15;;0;very low;E;9367;0,3512;197391,02;562020;60;0,04
Berg;Landkreis Starnberg;4,79387E+15;1,1381E+16;;0;very low;G;9367;0,731;410808,93;562020;60;0,04
Berg;Landkreis Starnberg;4,79568E+15;1,13838E+15;;0;very low;E;9367;0,3077;405564,02;1317914,02;140,7;0,04
Gilching;Landkreis Starnberg;4,81103E+15;1,13059E+16;;0;very low;G;9367;0,379;213022,69;562020;60;0,04
Gilching;Landkreis Starnberg;4,80946E+16;1,1278E+16;;0;very low;F;9367;0,523;293928,73;562020;60;0,04
Gilching;Landkreis Starnberg;4,81021E+15;1,12857E+16;;0;very low;A+;9367;0,0808;122279,15;1512561,22;161,48;0,04
Gilching;Landkreis Starnberg;4,80964E+15;1,12744E+16;;0;very low;E;9367;0,6739;378748,38;562020;60;0,04
Gilching;Landkreis Starnberg;4,81075E+15;1,12453E+16;;0;very low;A;9367;0,67;376531,99;562020;60;0,04
Pöcking;Landkreis Starnberg;4,79571E+15;1,12847E+16;;0;very low;G;9367;0,7322;411521,78;562020;60;0,04
München;;4,8156E+15;1,15726E+15;;0;very low;H;10186;0,0936;170420,24;1819771,15;178,65;0,04
München;;4,8151E+15;1,1577E+16;;0;very low;C;10186;0,2976;181857,84;611160;60;0,04
München;;4,81519E+15;1,15719E+16;;0;very low;D;10186;0,5132;313658,28;611160;60;0,04
München;;4,81532E+15;1,15816E+16;;0;very low;G;10186;0,2452;316091,82;1288939,48;126,54;0,04
München;;4,81871E+15;1,15141E+15;;0;very low;A+;10186;0,6175;377407,35;611160;60;0,04
München;;4,8185E+15;1,15209E+16;;0;very low;D;10186;0,3047;186196,22;611160;60;0,04
München;;4,81858E+15;1,15243E+16;;0;very low;C;10186;0,2783;182374,18;655396,52;64,34;0,04
München;;4,81903E+15;1,15112E+16;;0;very low;G;10186;0,2811;227178,25;808304,11;79,35;0,04
München;;4,8141E+15;1,14115E+15;;0;very low;H;10186;0,4942;302027,26;611160;60;0,04
München;;4,81719E+16;1,13839E+16;;0;very low;B;10186;0,2142;130911,33;611160;60;0,04
München;;4,81537E+16;1,13748E+16;;0;very low;C;10186;0,2765;173943,46;629108,11;61,76;0,04
München;;4,81293E+15;1,14102E+16;;0;very low;F;10186;0,1992;239496,93;1202579,88;118,06;0,04
München;;4,81917E+15;1,14E+16;;0;very low;G;10186;0,6846;418379,07;611160;60;0,04
München;;4,81475E+15;1,16362E+15;;0;very low;D;10186;0,6043;369345,81;611160;60;0,04
München;;4,81604E+16;1,16322E+16;;0;very low;E;10186;0,3293;201242,3;611160;60;0,04
München;;4,81715E+15;1,16421E+16;;0;very low;H;10186;0,077;75766,21;983896,33;96,59;0,04
München;;4,81462E+15;1,16295E+16;;0;very low;F;10186;0,5787;353680,01;611160;60;0,04
München;;4,8167E+15;1,16446E+16;;0;very low;H;10186;0,6855;418956,69;611160;60;0,04
München;;4,81557E+15;1,16427E+16;;0;very low;A;10186;0,1896;115897,63;611160;60;0,04
München;;4,81106E+15;1,14898E+16;;0;very low;H;10186;0,4476;273544,11;611160;60;0,04
München;;4,80969E+15;1,14849E+16;;0;very low;B;10186;0,4135;252706,17;611160;60;0,04
München;;4,81079E+14;1,14969E+16;;0;very low;A+;10186;0,2417;147712,72;611160;60;0,04
München;;4,8099E+15;1,14835E+16;;0;very low;B;10186;0,6915;422623,75;611160;60;0,04
München;;4,81185E+15;1,15115E+16;;0;very low;A+;10186;0,5366;327942,8;611160;60;0,04
München;;4,81091E+15;1,14893E+16;;0;very low;D;10186;0,3022;184719,62;611160;60;0,04
München;;4,81133E+15;1,15159E+16;;0;very low;G;10186;0,6826;417189,29;611160;60;0,04
München;;4,81201E+16;1,16062E+15;;0;very low;A;10186;0,3729;227883,85;611160;60;0,04
München;;4,81166E+15;1,16085E+16;;0;very low;B;10186;0,6789;414922,52;611160;60;0,04
München;;4,81139E+15;1,16164E+16;;0;very low;E;10186;0,275;168084,35;611160;60;0,04
München;;4,81271E+15;1,15953E+15;;0;very low;B;10186;0,6772;413850,46;611160;60;0,04
München;;4,81259E+15;1,15982E+16;;0;very low;G;10186;0,0949;201030,49;2118760,79;208,01;0,04
München;;4,80857E+15;1,16628E+16;;0;very low;G;10186;0,0872;93797,11;1075171,7;105,55;0,04
München;;4,80854E+15;1,1639E+15;;0;very low;F;10186;0,1705;107337,49;629371,64;61,79;0,04
München;;4,80935E+15;1,16722E+13;;0;very low;A+;10186;0,5469;334232,42;611160;60;0,04
München;;4,80826E+15;1,16795E+15;;0;very low;E;10186;0,4302;262906,42;611160;60;0,04
München;;4,8088E+16;1,1661E+16;;0;very low;E;10186;0,1471;121091,41;823142,89;80,81;0,04
München;;4,80859E+15;1,16391E+16;;0;very low;G;10186;0,4685;286344,46;611160;60;0,04
München;;4,80912E+15;1,16143E+16;;0;very low;A+;10186;0,3203;195733,76;611160;60;0,04
München;;4,80907E+14;1,15989E+15;;0;very low;H;10186;0,4754;290544,17;611160;60;0,04
München;;4,81102E+15;1,16149E+16;;0;very low;H;10186;0,6342;387613,04;611160;60;0,04
München;;4,80978E+15;1,15998E+16;;0;very low;C;10186;0,5317;324955,94;611160;60;0,04
München;;4,80955E+15;1,15898E+16;;0;very low;C;10186;0,3436;210017,92;611160;60;0,04
München;;4,80976E+15;1,16094E+16;;0;very low;G;10186;0,52;317790,76;611160;60;0,04
München;;4,81033E+15;1,16058E+16;;0;very low;F;10186;0,4168;254742,8;611160;60;0,04
München;;4,8165E+15;1,14534E+15;;0;very low;H;10186;0,5764;352291,31;611160;60;0,04
München;;4,81665E+15;1,1438E+16;;0;very low;H;10186;0,3699;226081,88;611160;60;0,04
München;;4,8157E+15;1,1407E+16;;0;very low;F;10186;0,7079;432623,65;611160;60;0,04
München;;4,8149E+15;1,14713E+14;;0;very low;D;10186;0,2112;129102,7;611160;60;0,04
München;;4,81733E+15;1,14437E+16;;0;very low;D;10186;0,6821;416870,02;611160;60;0,04
München;;4,8171E+15;1,14256E+15;;0;very low;G;10186;0,4335;264934,89;611160;60;0,04
München;;4,81734E+15;1,14363E+16;;0;very low;E;10186;0,6432;393103,66;611160;60;0,04
München;;4,81383E+15;1,15987E+15;;0;very low;H;10186;0,3562;502106,16;1409781,54;138,4;0,04
München;;4,81361E+15;1,15933E+15;;0;very low;E;10186;0,4417;269956,5;611160;60;0,04
München;;4,81348E+15;1,16009E+16;;0;very low;H;10186;0,5035;307699,07;611160;60;0,04
München;;4,81235E+15;1,15208E+15;;0;very low;E;10186;0,6776;414142,92;611160;60;0,04
München;;4,81167E+15;1,15243E+16;;0;very low;F;10186;0,4268;260859,47;611160;60;0,04
München;;4,81248E+15;1,15318E+16;;0;very low;G;10186;0,6763;413356,14;611160;60;0,04
München;;4,81271E+15;1,15327E+16;;0;very low;E;10186;0,1161;83932,72;722712,89;70,95;0,04
München;;4,81256E+15;1,1531E+16;;0;very low;G;10186;0,2534;154879,88;611160;60;0,04
München;;4,81182E+15;1,15291E+16;;0;very low;G;10186;0,5108;312187,72;611160;60;0,04
München;;4,81269E+15;1,15388E+16;;0;very low;D;10186;0,2017;123240,59;611160;60;0,04
München;;4,81126E+15;1,16258E+16;;0;very low;D;10186;0,6219;380106,4;611160;60;0,04
München;;4,81067E+15;1,16531E+16;;0;very low;A+;10186;0,6474;395689,24;611160;60;0,04
München;;4,81117E+15;1,16286E+16;;0;very low;B;10186;0,4825;294877,7;611160;60;0,04
München;;4,81069E+15;1,1656E+16;;0;very low;H;10186;0,0679;172981,91;2548387,12;250,19;0,04
München;;4,81181E+16;1,16308E+16;;0;very low;E;10186;0,6078;371456;611160;60;0,04
München;;4,81144E+15;1,16439E+16;;0;very low;E;10186;0,3819;233409,08;611160;60;0,04
München;;4,81032E+15;1,15148E+16;;0;very low;B;10186;0,5136;313903,4;611160;60;0,04
München;;4,80903E+15;1,15432E+16;;0;very low;A+;10186;0,5323;325343,46;611160;60;0,04
München;;4,80898E+15;1,15446E+15;;0;very low;B;10186;0,6603;403550,73;611160;60;0,04
München;;4,81021E+15;1,15272E+16;;0;very low;D;10186;0,2067;126304,74;611160;60;0,04
München;;4,81034E+15;1,151E+16;;0;very low;G;10186;0,3134;191556,97;611160;60;0,04
München;;4,80976E+15;1,15493E+16;HQ 50;0,02;medium;E;10186;0,464;283593,88;611160;60;0,19
München;;4,81461E+16;1,16993E+16;;0;very low;C;10186;0,1428;105954,4;742175,69;72,86;0,04
München;;4,81412E+15;1,16923E+16;;0;very low;G;10186;0,3097;189279,87;611160;60;0,04
München;;4,81243E+15;1,17054E+16;;0;very low;D;10186;0,4868;297512,19;611160;60;0,04
München;;4,81259E+15;1,17044E+16;;0;very low;B;10186;0,5131;313601,49;611160;60;0,04
München;;4,81327E+15;1,17117E+16;;0;very low;G;10186;0,4665;285135,97;611160;60;0,04
München;;4,81394E+15;1,16672E+16;;0;very low;C;10186;0,4269;260882,92;611160;60;0,04
München;;4,81058E+15;1,15887E+16;;0;very low;C;10186;0,2846;173926,66;611160;60;0,04
München;;4,81137E+15;1,15992E+16;;0;very low;F;10186;0,7132;435852,53;611160;60;0,04
München;;4,8112E+15;1,15871E+16;;0;very low;E;10186;0,1932;206066,74;1066637,81;104,72;0,04
München;;4,81082E+15;1,15907E+16;;0;very low;C;10186;0,3086;188614,82;611160;60;0,04
München;;4,81101E+15;1,15832E+16;;0;very low;F;10186;0,6239;381293,89;611160;60;0,04
München;;4,81054E+15;1,15863E+16;;0;very low;B;10186;0,5005;305860,3;611160;60;0,04
München;;4,81124E+15;1,15881E+15;;0;very low;A+;10186;0,1779;124158,39;697959,41;68,52;0,04
München;;4,81076E+15;1,15337E+16;;0;very low;F;10186;0,4607;281579,73;611160;60;0,04
München;;4,81048E+15;1,15275E+16;;0;very low;C;10186;0,2122;129703,31;611160;60;0,04
München;;4,81033E+15;1,15376E+15;;0;very low;H;10186;0,5887;359811,88;611160;60;0,04
München;;4,81078E+15;1,15247E+16;;0;very low;A;10186;0,5312;324624,34;611160;60;0,04
München;;4,81075E+15;1,15391E+16;;0;very low;G;10186;0,6738;411820,94;611160;60;0,04
München;;4,81123E+15;1,15344E+16;;0;very low;H;10186;0,5543;338764,92;611160;60;0,04
München;;4,81726E+15;1,16483E+16;;0;very low;E;10186;0,2209;272677,63;1234391,89;121,19;0,04
München;;4,81554E+15;1,16466E+16;;0;very low;F;10186;0,3754;229413,48;611160;60;0,04
München;;4,81586E+14;1,16617E+16;;0;very low;G;10186;0,5746;351188,5;611160;60;0,04
München;;4,81577E+15;1,16577E+16;;0;very low;G;10186;0,4325;264310,03;611160;60;0,04
München;;4,80923E+16;1,15601E+16;;0;very low;D;10186;0,5436;332202,38;611160;60;0,04
München;;4,80887E+15;1,15484E+15;HQ 50;0,02;medium;G;10186;0,5441;332528,66;611160;60;0,19
München;;4,80857E+16;1,15501E+16;;0;very low;E;10186;0,6527;398885,98;611160;60;0,04
München;;4,81201E+15;1,16147E+15;;0;very low;G;10186;0,5065;309562,83;611160;60;0,04
München;;4,81227E+15;1,16176E+16;;0;very low;F;10186;0,6131;374727,48;611160;60;0,04
München;;4,81284E+15;1,1609E+16;;0;very low;E;10186;0,2493;152381,45;611160;60;0,04
München;;4,81196E+15;1,16399E+16;;0;very low;E;10186;0,4878;298132,85;611160;60;0,04
München;;4,8122E+15;1,16129E+16;;0;very low;F;10186;0,7267;444106,16;611160;60;0,04
München;;4,80914E+15;1,15146E+16;;0;very low;A;10186;0,4254;259999,44;611160;60;0,04
München;;4,80844E+15;1,15028E+16;;0;very low;F;10186;0,7245;442776,3;611160;60;0,04
München;;4,80882E+15;1,15094E+16;;0;very low;C;10186;0,5037;307864,77;611160;60;0,04
München;;4,80736E+15;1,14951E+16;;0;very low;D;10186;0,4805;293641,88;611160;60;0,04
München;;4,81459E+15;1,1458E+16;;0;very low;E;10186;0,5585;341340,94;611160;60;0,04
München;;4,8134E+15;1,14754E+15;;0;very low;C;10186;0,1698;146434,63;862192,2;84,64;0,04
München;;4,81465E+15;1,1465E+16;;0;very low;D;10186;0,6016;367651,42;611160;60;0,04
München;;4,81467E+15;1,14687E+16;;0;very low;C;10186;0,3267;199657,8;611160;60;0,04
München;;4,81326E+15;1,14667E+16;;0;very low;A;10186;0,4252;259841,01;611160;60;0,04
München;;4,81448E+15;1,14647E+16;;0;very low;F;10186;0,0769;50250,85;653265,81;64,13;0,04
München;;4,81231E+14;1,16503E+16;;0;very low;B;10186;0,4048;247385,91;611160;60;0,04
München;;4,81219E+16;1,16631E+16;;0;very low;C;10186;0,5015;306489,44;611160;60;0,04
München;;4,81208E+15;1,16473E+16;;0;very low;A;10186;0,3219;196726,07;611160;60;0,04
München;;4,81176E+15;1,16562E+16;;0;very low;C;10186;0,2757;168507,93;611160;60;0,04
München;;4,81286E+15;1,1653E+16;;0;very low;G;10186;0,51;311692,55;611160;60;0,04
München;;4,81184E+15;1,16581E+16;;0;very low;H;10186;0,1435;116202,47;809783,17;79,5;0,04
München;;4,81193E+15;1,16687E+16;;0;very low;A+;10186;0,5435;332145,71;611160;60;0,04
München;;4,81634E+15;1,14782E+16;;0;very low;D;10186;0,6529;399036,81;611160;60;0,04
München;;4,81677E+15;1,14572E+16;;0;very low;A+;10186;0,1935;240389,6;1242409,12;121,97;0,04
München;;4,81658E+15;1,14544E+16;;0;very low;A;10186;0,1474;90114,93;611160;60;0,04
München;;4,81773E+15;1,14407E+16;;0;very low;F;10186;0,5921;361837,79;611160;60;0,04
München;;4,81471E+15;1,16265E+16;;0;very low;F;10186;0,4857;296847,46;611160;60;0,04
München;;4,81505E+16;1,16203E+16;;0;very low;E;10186;0,7114;434761,65;611160;60;0,04
München;;4,81631E+15;1,16178E+15;;0;very low;E;10186;0,2563;156619,29;611160;60;0,04
München;;4,81622E+15;1,16107E+15;HQ 100;0,001;low;A+;10186;0,2109;128895,22;611160;60;0,1
München;;4,81161E+15;1,14943E+16;;0;very low;H;10186;0,6829;417362,78;611160;60;0,04
München;;4,81216E+15;1,14821E+16;;0;very low;G;10186;0,5176;316343,63;611160;60;0,04
München;;4,8117E+15;1,1499E+16;;0;very low;A;10186;0,7274;444560,59;611160;60;0,04
München;;4,81213E+15;1,14818E+16;;0;very low;E;10186;0,405;247505,41;611160;60;0,04
München;;4,81181E+15;1,14712E+16;;0;very low;D;10186;0,7094;433559,41;611160;60;0,04
München;;4,81171E+16;1,14682E+16;;0;very low;C;10186;0,0904;107146,42;1184822,07;116,32;0,04
München;;4,81051E+15;1,16238E+16;;0;very low;G;10186;0,2679;163733,42;611160;60;0,04
München;;4,81014E+14;1,16467E+16;;0;very low;H;10186;0,3702;226257,88;611160;60;0,04
München;;4,81066E+15;1,16204E+16;;0;very low;B;10186;0,3597;219823,81;611160;60;0,04
München;;4,80958E+15;1,16339E+16;;0;very low;F;10186;0,2942;179814,68;611160;60;0,04
München;;4,8096E+15;1,16306E+16;;0;very low;E;10186;0,1894;115742,06;611160;60;0,04
München;;4,81027E+15;1,16523E+16;;0;very low;G;10186;0,494;301901,74;611160;60;0,04
München;;4,81016E+15;1,16276E+15;;0;very low;C;10186;0,4757;290718,28;611160;60;0,04
München;;4,80971E+15;1,16589E+16;;0;very low;H;10186;0,5344;326587,2;611160;60;0,04
München;;4,81583E+15;1,15692E+16;;0;very low;G;10186;0,1795;284467,28;1584653,53;155,57;0,04
München;;4,81585E+15;1,15677E+16;;0;very low;E;10186;0,4019;245600,63;611160;60;0,04
München;;4,81527E+15;1,1562E+15;;0;very low;E;10186;0,5894;360198,49;611160;60;0,04
München;;4,80847E+16;1,14807E+15;;0;very low;H;10186;0,2374;145095,54;611160;60;0,04
München;;4,80843E+16;1,14869E+16;;0;very low;F;10186;0,6449;394133,13;611160;60;0,04
München;;4,80799E+15;1,1481E+16;;0;very low;E;10186;0,4207;257092,23;611160;60;0,04
München;;4,80843E+15;1,14777E+16;;0;very low;B;10186;0,1141;100339,72;879351,21;86,33;0,04
München;;4,81967E+15;1,15424E+16;;0;very low;F;10186;0,4082;249453,08;611160;60;0,04
